Seconds,Latitude,Longitude,Elevation,Data
2022-09-22T09:32:02.708989Z,51.539273081,-0.147140114,87132.7,4478.0
2022-09-22T09:32:03.708989Z,51.53927364,-0.147124316,86787.6,4485.722772277228
2022-09-22T09:32:04.708989Z,51.539275527,-0.147107146,86979.2,4498.0
2022-09-22T09:32:05.708989Z,51.539275796,-0.147090345,87057.4,4500.841584158416
2022-09-22T09:32:06.708989Z,51.539275796,-0.147073979,86804.7,4505.0
2022-09-22T09:32:07.708989Z,51.539276105,-0.147057457,86737.8,4505.0
2022-09-22T09:32:08.708989Z,51.539274375,-0.147041149,86563.0,4516.049504950495
2022-09-22T09:32:09.708989Z,51.539274203,-0.147024193,86581.4,4517.0
2022-09-22T09:32:10.708989Z,51.5392741,-0.147007735,86686.8,4529.227722772277
2022-09-22T09:32:11.708989Z,51.539274674,-0.146989486,86209.2,4530.0
2022-09-22T09:32:12.708989Z,51.539273671,-0.146972718,85995.1,4535.762376237623
2022-09-22T09:32:13.708989Z,51.539274275,-0.146958798,85810.1,4536.0
2022-09-22T09:32:14.708989Z,51.539273145,-0.146944425,85797.1,4554.435643564357
2022-09-22T09:32:15.708989Z,51.539271632,-0.146928057,86186.7,4555.0
2022-09-22T09:32:16.708989Z,51.539268474,-0.146910914,86194.5,4565.782178217822
2022-09-22T09:32:17.708989Z,51.539266042,-0.146892481,86096.6,4566.0
2022-09-22T09:32:18.708989Z,51.539263586,-0.146873652,85921.3,4562.039603960396
2022-09-22T09:32:19.708989Z,51.539263314,-0.146855588,85599.1,4561.910891089109
2022-09-22T09:32:20.708989Z,51.539264337,-0.146835243,85697.4,4553.0
2022-09-22T09:32:21.708989Z,51.539267547,-0.146814592,85708.6,4553.0
2022-09-22T09:32:22.708989Z,51.539268631,-0.146798523,85629.0,4549.851485148515
2022-09-22T09:32:23.708989Z,51.539272084,-0.146779915,85850.2,4547.0
2022-09-22T09:32:24.708989Z,51.539275349,-0.146761546,86096.9,4550.24
2022-09-22T09:32:25.708989Z,51.539278659,-0.146743685,85900.6,4553.0
2022-09-22T09:32:26.708989Z,51.539282479,-0.146726396,85785.5,4561.941176470588
2022-09-22T09:32:27.708989Z,51.539285008,-0.146708961,85686.4,4569.0
2022-09-22T09:32:28.708989Z,51.539287627,-0.146690587,85493.2,4575.772277227723
2022-09-22T09:32:29.708989Z,51.539289601,-0.14667222,85423.8,4581.0
2022-09-22T09:32:30.708989Z,51.539291293,-0.146653965,85400.6,4578.079207920792
2022-09-22T09:32:31.708989Z,51.53929294,-0.146636116,85407.1,4576.0
2022-09-22T09:32:32.708989Z,51.539294033,-0.146617468,85221.2,4573.64
2022-09-22T09:32:33.708989Z,51.539296855,-0.146600298,85092.4,4572.0
2022-09-22T09:32:34.708989Z,51.539300491,-0.146584437,85354.6,4574.455445544554
2022-09-22T09:32:35.708989Z,51.539304776,-0.14656722,85455.1,4576.0
2022-09-22T09:32:36.708989Z,51.53930478,-0.146552135,85414.7,4572.257425742574
2022-09-22T09:32:37.708989Z,51.539303878,-0.14653442,85262.0,4570.0
2022-09-22T09:32:38.708989Z,51.539297852,-0.146520162,85179.8,4571.247524752475
2022-09-22T09:32:39.708989Z,51.539293354,-0.146504623,85039.6,4579.0
2022-09-22T09:32:40.708989Z,51.539287236,-0.146488104,84926.0,4579.792079207921
2022-09-22T09:32:41.708989Z,51.539281695,-0.146470946,84906.0,4584.0
2022-09-22T09:32:42.708989Z,51.53927648,-0.146453268,85045.1,4587.176470588235
2022-09-22T09:32:43.708989Z,51.539271277,-0.14643734,85205.8,4602.0
2022-09-22T09:32:44.708989Z,51.539264785,-0.146421686,85723.7,4606.514851485149
2022-09-22T09:32:45.708989Z,51.539260231,-0.146406226,85830.5,4626.0
2022-09-22T09:32:46.708989Z,51.539255724,-0.146389157,86258.7,4626.415841584158
2022-09-22T09:32:47.708989Z,51.539250027,-0.146371025,86431.9,4628.0
2022-09-22T09:32:48.708989Z,51.539247154,-0.146351831,86453.9,4628.21
2022-09-22T09:32:49.708989Z,51.539245578,-0.146335266,85961.9,4629.0
2022-09-22T09:32:50.708989Z,51.539240665,-0.146318338,86059.3,4629.683168316832
2022-09-22T09:32:51.708989Z,51.539234603,-0.146302293,86311.7,4632.0
2022-09-22T09:32:52.708989Z,51.539228364,-0.146286401,86366.9,4632.0
2022-09-22T09:32:53.708989Z,51.539223238,-0.146271572,86215.7,4637.940594059406
2022-09-22T09:32:54.708989Z,51.539218616,-0.146256389,86056.3,4640.0
2022-09-22T09:32:55.708989Z,51.539211707,-0.146243853,85981.0,4652.19801980198
2022-09-22T09:32:56.708989Z,51.539202588,-0.146237338,86078.1,4656.0
2022-09-22T09:32:57.708989Z,51.539193169,-0.146236498,85925.1,4657.533980582524
2022-09-22T09:32:58.708989Z,51.539184796,-0.14623539,85810.2,4658.0
2022-09-22T09:32:59.708989Z,51.539175679,-0.146234663,85630.9,4653.285714285715
